NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SENSORY PERCEPTION%GOBP%GO:0007600	SENSORY PERCEPTION%GOBP%GO:0007600	Details ...	17	-0.23101264	-0.9205898	0.5375	1.0	1.0	747	tags=100%, list=77%, signal=435%	
LIPID CATABOLIC PROCESS%GOBP%GO:0016042	LIPID CATABOLIC PROCESS%GOBP%GO:0016042	Details ...	15	-0.20773599	-0.8132082	0.75728154	1.0	1.0	15	tags=13%, list=2%, signal=13%	
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	Details ...	15	-0.17132506	-0.6557549	0.9047619	0.94724566	1.0	146	tags=27%, list=15%, signal=31%	
